INCIDENT_ID,DATA_YEAR,OFFENSE_TYPES,SUM_OFFENSE_RECORDS
79928,2015,Shoplifting,43
79929,2015,Simple Assault,1443
79930,2015,Sodomy,4
79931,2015,Statutory Rape,2
79932,2015,Stolen Property Offenses,6
79933,2015,Theft From Building,27
79934,2015,Theft From Coin-Operated Machine or Device,0
79935,2015,Theft From Motor Vehicle,34
79936,2015,Theft of Motor Vehicle Parts or Accessories,2
79937,2015,Weapon Law Violations,16
79938,2015,Welfare Fraud,0
79939,2015,Wire Fraud,2
79940,2016,Aggravated Assault,702
79941,2016,All Other Larceny,86
79942,2016,Animal Cruelty,0
79943,2016,Arson,45
79944,2016,Assisting or Promoting Prostitution,0
79945,2016,Betting/Wagering,0
79946,2016,Bribery,0
79947,2016,Burglary/Breaking & Entering,128
79948,2016,Counterfeiting/Forgery,10
79949,2016,Credit Card/Automated Teller Machine Fraud,11
79950,2016,Destruction/Damage/Vandalism of Property,1934
79951,2016,Drug Equipment Violations,22
79952,2016,Drug/Narcotic Violations,50
79953,2016,Embezzlement,2
79954,2016,Extortion/Blackmail,1
79955,2016,False Pretenses/Swindle/Confidence Game,13
79956,2016,Fondling,7
79957,2016,Hacking/Computer Invasion,0
79958,2016,"Human Trafficking, Commercial Sex Acts",0
79959,2016,Identity Theft,3
79960,2016,Impersonation,14
79961,2016,Incest,0
79962,2016,Intimidation,1613
79963,2016,Kidnapping/Abduction,11
